"filename", "language", "Dart", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\README.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\airqualitypage.dart", "Dart", 107, 0, 0, 0, 1, 108
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\assets\airquality.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\assets\humid.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\assets\temp.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\button.dart", "Dart", 27, 0, 0, 1, 7, 35
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\camera.dart", "Dart", 19, 0, 0, 0, 2, 21
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\control.dart", "Dart", 93, 0, 0, 0, 6, 99
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\feature.dart", "Dart", 69, 0, 0, 0, 4, 73
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\firebase_options.dart", "Dart", 55, 0, 0, 12, 4, 71
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\humidity.dart", "Dart", 78, 0, 0, 0, 2, 80
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\login_page.dart", "Dart", 182, 0, 0, 6, 8, 196
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\main.dart", "Dart", 173, 0, 0, 2, 8, 183
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\profile.dart", "Dart", 93, 0, 0, 2, 3, 98
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\sign_up_page.dart", "Dart", 216, 0, 0, 4, 9, 229
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\temperature.dart", "Dart", 78, 0, 0, 0, 2, 80
"c:\Users\Bin\AndroidStudioProjects\SmartBot\lib\user_provider.dart", "Dart", 9, 0, 0, 1, 4, 14
"Total", "-", 1199, 0, 3, 28, 61, 1291
